학번,전공1,전공2,전공3,전공4
2010-13341,외교학전공,,,
2010-13342,컴퓨터공학전공,,,
2010-13343,경제학전공,지속가능성학,,
2010-13344,경제학전공,컴퓨터공학전공,,
2010-13345,경제학전공,경영학전공,,
2010-13346,연합전공 정보문화학,가상현실학,,
2010-13347,철학전공,컴퓨터공학전공,,
2010-13348,심리학전공,경제학전공,,
2010-13349,경제학전공,수리과학전공,,
2010-13350,수리과학전공,,,
2010-13351,심리학전공,경제학전공,,
2010-13352,경제학전공,재무금융,,
2010-13354,경제학전공,컴퓨터공학전공,,
2010-13355,경제학전공,통계학전공,,
2010-13356,심리학전공,연합전공 정보문화학,,
2010-13357,철학전공,경영학전공,,
2010-13358,경제학전공,경영학전공,,
2010-13359,경영학전공,,,
2010-13360,인류학전공,언론정보학전공,,
2010-13361,경제학전공,수리과학전공,,
2010-13362,영어영문학전공,외교학전공,,
2010-13363,언론정보학전공,외교학전공,,
2010-13364,경제학전공,수리과학전공,,
2010-13365,심리학전공,정치학전공,,
2010-13366,운동생리학,,,
2010-13367,서양사학전공,생명과학전공,,
2010-13368,경제학전공,,,
2010-13369,경제학전공,,,
2010-13370,물리학전공,,,
2010-13372,경영학전공,생명과학전공,,
2010-13373,사회복지학전공,경영학전공,,
2010-13374,경영학전공,,,
2010-13375,경제학전공,,,
2010-13376,중어중문학전공,외교학전공,,
2010-13377,경영학전공,,,
2010-13378,언어학전공,인공지능공학,,
2010-13379,언론정보학전공,,,
2010-13380,영어영문학전공,외교학전공,,
2010-13381,경영학전공,,,
2010-13382,미술사학전공,경제학전공,,
2010-13383,경제학전공,,,
2010-13384,경제학전공,,,
2010-13385,철학전공,경영학전공,,
2010-13386,경제학전공,,,
2010-13387,경제학전공,문화콘텐츠마케팅학,,
2010-13388,외교학전공,경영학전공,,
2010-13389,경제학전공,물리학전공,,
2010-13390,생명과학전공,,,
2010-13391,영어영문학전공,,,
2010-13392,경제학전공,,,
2010-13393,경영학전공,,,
2010-13394,언론정보학전공,경영학전공,,
2010-13395,경영학전공,,,
2010-13396,외교학전공,,,
2010-13397,수리과학전공,컴퓨터공학전공,,
2010-13398,경영학전공,,,
2010-13399,연합전공 정보문화학,경영학전공,,
2010-13400,경제학전공,,,
2010-13401,생명과학전공,,,
2010-13402,미학전공,,,
2010-13403,외교학전공,,,
2010-13404,심리학전공,경제학전공,,
2010-13405,인도언어문명전공,사회학전공,,
2010-13406,경제학전공,,,
2010-13407,연합전공 정보문화학,컴퓨터공학전공,,
2010-13408,경제학전공,생명과학전공,,
2010-13409,영어영문학전공,수리과학전공,,
2010-13410,경영학전공,,,
2010-13411,심리학전공,경제학전공,,
2010-13412,수리과학전공,컴퓨터공학전공,,
2010-13413,경제학전공,,,
2010-13414,경제학전공,외교학전공,,
