학번,전공1,전공2,전공3,전공4
2013-13440,경영학전공,생명과학전공,,
2013-13441,산업공학전공,컴퓨터공학전공,,
2013-13443,건축학과 건축학전공(5년제),,,
2013-13444,화학생물공학전공,,,
2013-13445,생명과학전공,,,
2013-13446,경영학전공,생명과학전공,,
2013-13447,생명과학전공,컴퓨터공학전공,,
2013-13448,심리학전공,통계학전공,,
2013-13449,심리학전공,생명과학전공,,
2013-13450,경제학전공,통계학전공,,
2013-13451,경영학전공,,,
2013-13453,경영학전공,컴퓨터공학전공,,
2013-13454,생명과학전공,,,
2013-13455,전기·정보공학전공,,,
2013-13456,서양사학전공,경제학전공,,
2013-13457,통계학전공,연합전공 계산과학,,
2013-13458,미술사학전공,연합전공 정보문화학,,
2013-13459,생명과학전공,,,
2013-13460,심리학전공,통계학전공,,
2013-13461,경제학전공,통계학전공,,
2013-13462,수리과학전공,전기·정보공학전공,,
2013-13463,경영학전공,생산 공학,,
2013-13464,경제학전공,,,
2013-13465,생명과학전공,컴퓨터공학전공,,
2013-13466,미학전공,전기·정보공학전공,,
2013-13467,경제학전공,통계학전공,,
2013-13468,경제학전공,통계학전공,,
2013-13469,연합전공 기술경영,전기·정보공학전공,,
2013-13470,연합전공 정보문화학,전기·정보공학전공,,
2013-13471,경제학전공,연합전공 벤처경영학,,
2013-13472,수리과학전공,컴퓨터공학전공,,
2013-13473,연합전공 기술경영,전기·정보공학전공,,
2013-13474,경제학전공,통계학전공,,
2013-13475,경제학전공,미래학,,
2013-13476,경영학전공,,,
2013-13477,경제학전공,통계학전공,,
2013-13478,기계항공공학전공,,,
2013-13479,경제학전공,통계학전공,,
2013-13480,경제학전공,수리과학전공,,
2013-13484,컴퓨터공학전공,,,
2013-13485,생명과학전공,화학생물공학전공,,
2013-13486,경영학전공,생명과학전공,,
2013-13520,경영학전공,,,
2013-13521,경영학전공,의류학전공,,
2014-10162,정치학전공,법규범진화학,,
2014-10170,경제학전공,연합전공 기술경영,,
2014-10228,경영학전공,,,
2014-10364,컴퓨터공학전공,,,
2014-10388,경제학전공,산업공학전공,,
2014-10533,정치학전공,,,
2014-10568,경제학전공,,,
2014-10658,연합전공 정보문화학,수리과학전공,,
2014-10668,수리과학전공,물리학전공,,
2014-10710,미학전공,외교학전공,,
2014-10753,경영학전공,,,
2014-10955,심리학전공,연합전공 정보문화학,,
2014-11012,컴퓨터공학전공,,,
2014-11217,경영학전공,컴퓨터공학전공,,
2014-11301,인류학전공,경제학전공,,
2014-11476,컴퓨터공학전공,시각디자인전공,,
2014-11496,경제학전공,국제금융학,,
2014-11713,사회학전공,경제학전공,,
2014-11745,사회학전공,경제학전공,,
2014-11751,경영학전공,공공거버넌스학,,
2014-11772,중어중문학전공,경제학전공,,
2014-11800,심리학전공,컴퓨터공학전공,,
2014-11868,국어국문학전공,연합전공 영상매체예술,,
2014-12071,컴퓨터공학전공,,,
2014-12156,경제학전공,화학생물공학전공,,
2014-12163,언론정보학전공,정치학전공,,
2014-12242,외교학전공,경영학전공,,
2014-12268,동남아시아언어문명전공,경제학전공,,
2014-12288,심리학전공,생명과학전공,,
2014-12364,경제학전공,,,
2014-12377,경제학전공,공공관리학,,
2014-12439,경영학전공,통계학전공,,
2014-12529,언어학전공,컴퓨터공학전공,,
2014-12538,국어국문학전공,경영학전공,,
2014-12540,심리학전공,경제학전공,,
2014-12565,사회학전공,경영학전공,,
2014-12654,경영학전공,,,
2014-12676,연합전공 정보문화학,경영학전공,,
2014-12728,수리과학전공,,,
2014-12759,언어학전공,전기·정보공학전공,,
2014-12806,경제학전공,통계학전공,,
2014-12809,경영학전공,생명과학전공,,
2014-12923,경영학전공,기계공학전공,,
2014-12976,중어중문학전공,경영학전공,,
2014-13028,경영학전공,화학생물공학전공,,
2014-13114,인류학전공,컴퓨터공학전공,,
2014-13346,서어서문학전공,경영학전공,,
2014-13395,경제학전공,,,
2014-13435,경제학전공,,,
2014-13478,외교학전공,,,
2014-13563,심리학전공,화학생물공학전공,,
2014-13745,영어영문학전공,심리학전공,,
2014-13782,국어국문학전공,미학전공,,
2014-13824,재료공학전공,,,
2014-13936,일본언어문명전공,경제학전공,,
2014-13968,심리학전공,경제학전공,,
2014-13979,인류학전공,경제학전공,,
2014-14022,경영학전공,전기·정보공학전공,,
2014-14132,인류학전공,연합전공 정보문화학,,
2014-14246,언어학전공,물리학전공,,
2014-14439,경제학전공,,,
2014-14479,사회학전공,소셜 컴퓨팅,,
2014-14599,경제학전공,제도발전학,,
2014-14605,의류학전공,,,
2014-14630,경제학전공,통계학전공,,
2014-14847,인류학전공,생명과학전공,,
2014-14873,철학전공,생명과학전공,,
2014-14874,사회복지학전공,외교학전공,,
2014-14888,생명과학전공,전기·정보공학전공,,
2014-14935,경영학전공,의류학전공,,
2014-14945,지리학전공,경영학전공,,
2014-14993,정치학전공,컴퓨터공학전공,,
2014-15005,철학전공,,,
2014-15126,경영학전공,산업공학전공,공업디자인전공,
2014-15298,경영학전공,,,
2014-15481,철학전공,심리학전공,,
2014-15502,컴퓨터공학전공,,,
2014-15506,심리학전공,경제학전공,,
2014-15541,경제학전공,생명과학전공,,
2014-15565,미학전공,언론정보학전공,,
2014-15691,기계공학전공,,,
2014-15731,산업공학전공,전기·정보공학전공,,
2014-15747,경제학전공,범죄학,,
2014-15753,전기·정보공학전공,연합전공 글로벌환경경영학,,
2014-16051,외교학전공,수리과학전공,,
2014-16058,경제학전공,컴퓨터공학전공,,
2014-16112,경영학전공,동아시아학,,
2014-16114,사회학전공,경영학전공,,
2014-16181,경제학전공,,,
2014-16200,수리과학전공,컴퓨터공학전공,,
2014-16230,연합전공 정보문화학,경영학전공,,
2014-16422,전기·정보공학전공,,,
2014-16484,경제학전공,환경정책학,,
2014-16615,컴퓨터공학전공,,,
2014-16702,경제학전공,인권학,,
2014-16766,경제학전공,물리학전공,,
2014-16801,물리학전공,,,
2014-16948,경영학전공,통계학전공,,
2014-17033,경제학전공,,,
2014-17210,통계학전공,연합전공 계산과학,,
2014-17230,경영학전공,건축학과 건축학전공(5년제),,
2014-17249,경영학전공,,,
2014-17254,경제학전공,통계학전공,,
2014-17308,영어영문학전공,외교학전공,,
2014-17323,건설환경공학전공,,,
2014-17367,경제학전공,통계학전공,,
2014-17486,경제학전공,외교학전공,,
2014-17511,경제학전공,,,
2014-17663,언론정보학전공,경영학전공,,
2014-17713,경영학전공,연합전공 영상매체예술,,
2014-17770,미술사학전공,경영학전공,,
2014-17776,경제학전공,,,
2014-17798,심리학전공,경영학전공,,
2014-17819,사회학전공,외교학전공,,
2014-17831,심리학전공,컴퓨터공학전공,행복학,
2014-17900,수리과학전공,전기·정보공학전공,,
2014-18024,연합전공 정보문화학,경영학전공,,
2014-18061,경제학전공,통계학전공,,
2014-18200,컴퓨터공학전공,,,
2014-18239,경제학전공,컴퓨터공학전공,,
2014-18248,경제학전공,,,
2014-18273,철학전공,컴퓨터공학전공,,
2014-18300,생명과학전공,,,
2014-18408,경제학전공,조선해양공학전공,,
2014-18422,시각디자인전공,놀이문화학,,
2014-18448,경제학전공,외교학전공,,
2014-18449,컴퓨터공학전공,인터랙션디자인,,
2014-18467,서어서문학전공,정치학전공,,
2014-18474,전기·정보공학전공,,,
2014-18555,기계공학전공,,,
2014-18687,경영학전공,정치경제철학,,
2014-18765,경제학전공,,,
2014-18935,컴퓨터공학전공,,,
2014-19008,연합전공 정보문화학,경영학전공,,
2014-19090,심리학전공,경제학전공,,
2014-19180,연합전공 정보문화학,컴퓨터공학전공,,
2014-19250,기계공학전공,,,
2014-19264,국어국문학전공,경영학전공,,
2014-19295,경영학전공,,,
2014-19357,언론정보학전공,경영학전공,,
2014-19635,경영학전공,산업공학전공,,
2014-19677,인류학전공,통계학전공,,
2014-19742,생명과학전공,기계공학전공,,
2014-19862,정치학전공,지속가능성학,,
2014-19877,서아시아언어문명전공,외교학전공,,
2014-19899,경제학전공,컴퓨터공학전공,,
2015-10006,컴퓨터공학전공,디지털 인문학: 동아시아,,
2015-10010,경제학전공,연합전공 기술경영,,
2015-10253,컴퓨터공학전공,기계공학전공,,
2015-10378,생명과학전공,,,
2015-10394,경영학전공,,,
2015-10549,경제학전공,정치학전공,,
2015-10584,연합전공 정보문화학,경영학전공,,
2015-10590,서양화전공,,,
2015-10906,연합전공 정보문화학,전기·정보공학전공,,
2015-10948,지리학전공,경영학전공,,
2015-10962,심리학전공,컴퓨터공학전공,,
2015-11078,경영학전공,,,
2015-11258,심리학전공,산업공학전공,,
2015-11290,심리학전공,경제학전공,,
2015-11397,언론정보학전공,경영학전공,,
2015-11444,연합전공 정보문화학,경영학전공,,
2015-11461,중어중문학전공,경제학전공,,
2015-11478,독어독문학전공,경제학전공,,
2015-11703,경영학전공,컴퓨터공학전공,,
2015-11713,국어국문학전공,언론정보학전공,,
2015-11773,연합전공 정보문화학,경영학전공,,
2015-11913,연합전공 정보문화학,경영학전공,,
2015-11952,물리학전공,컴퓨터공학전공,,
2015-11998,언론정보학전공,경영학전공,,
2015-12203,정치학전공,경영학전공,,
2015-12464,물리학전공,지식생태학,,
2015-12802,미학전공,경영학전공,,
2015-12860,인류학전공,경제학전공,,
2015-13033,경영학전공,,,
2015-13058,수리과학전공,컴퓨터공학전공,,
2015-13155,경제학전공,생명과학전공,,
2015-13390,화학전공,,,
2015-13436,고고학전공,경영학전공,,
2015-13521,컴퓨터공학전공,,,
2015-13692,언어학전공,생명과학전공,,
2015-13707,국어국문학전공,정치학전공,,
2015-13754,서어서문학전공,경영학전공,,
2015-13796,심리학전공,연합전공 정보문화학,,
2015-13831,경영학전공,,,
2015-13907,경제학전공,,,
2015-13964,경영학전공,화학생물공학전공,,
2015-14047,철학전공,경제학전공,,
2015-14114,컴퓨터공학전공,연합전공 영상매체예술,,
2015-14115,언론정보학전공,경영학전공,,
2015-14211,경영학전공,전기·정보공학전공,,
2015-14214,경제학전공,외교학전공,,
2015-14322,철학전공,물리학전공,,
2015-14368,경영학전공,통계학전공,,
2015-14393,경영학전공,매체예술소통학,,
2015-14403,경제학전공,컴퓨터공학전공,,
2015-14607,화학생물공학전공,,,
2015-14678,경제학전공,동아시아학,,
2015-14721,경영학전공,디지털미디어,,
2015-14728,미학전공,심리학전공,,
2015-14734,산업공학전공,,,
2015-14906,전기·정보공학전공,,,
2015-15011,화학생물공학전공,,,
2015-15069,경영학전공,통계학전공,,
2015-15365,경제학전공,산업공학전공,,
2015-15382,우주항공공학전공,,,
2015-15707,화학전공,,,
2015-15766,정치학전공,감정학,,
2015-15824,수리과학전공,음악미학,,
2015-15918,언론정보학전공,경제학전공,,
2015-16074,경제학전공,,,
2015-16479,경제학전공,통계학전공,,
2015-16498,경제학전공,연합전공 계산과학,,
2015-16518,철학전공,경제학전공,,
2015-16535,연합전공 정보문화학,컴퓨터공학전공,,
2015-16658,화학전공,,,
2015-16845,경제학전공,,,
2015-16890,컴퓨터공학전공,가치과학공학,,
2015-16975,경영학전공,생명과학전공,,
2015-17046,경제학전공,의사결정학,,
2015-17258,경영학전공,컴퓨터공학전공,,
2015-17505,심리학전공,연합전공 정보문화학,,
2015-17553,심리학전공,경영학전공,,
2015-17784,경제학전공,외교학전공,,
2015-17817,사회복지학전공,경제학전공,,
2015-17894,경제학전공,,,
2015-17900,국어국문학전공,경제학전공,,
2015-17912,기계공학전공,양자정보공학,,
2015-18067,경제학전공,생명과학전공,,
2015-18195,경제학전공,시스템 신경과학,,
2015-18359,물리학전공,컴퓨터공학전공,,
2015-18463,미술사학전공,경영학전공,,
2015-18475,경제학전공,통계학전공,,
2015-18480,경영학전공,컴퓨터공학전공,,
2015-18516,언론정보학전공,문화매체비평학,,
2015-18611,사회학전공,통계학전공,,
2015-18839,경영학전공,컴퓨터공학전공,,
2015-18848,미술사학전공,생명과학전공,,
2015-18859,심리학전공,,,
2015-18879,정치학전공,경영학전공,,
2015-18967,언론정보학전공,경제학전공,,
2015-19007,전기·정보공학전공,,,
2015-19028,컴퓨터공학전공,,,
2015-19158,생명과학전공,,,
2015-19166,경영학전공,생명과학전공,,
2015-19359,경제학전공,통계학전공,,
2015-19410,경제학전공,컴퓨터공학전공,,
2015-19458,컴퓨터공학전공,시각디자인전공,,
2015-19670,심리학전공,경영학전공,,
2015-19683,수리과학전공,컴퓨터공학전공,,
2015-19766,심리학전공,통계학전공,,
2015-19936,생명과학전공,물리학전공,,
2015-19988,컴퓨터공학전공,기계공학전공,,
2016-10033,경영학전공,,,
2016-10177,사회학전공,경제학전공,,
2016-10341,경제학전공,지구환경과학전공,,
2016-10353,외교학전공,경영학전공,,
2016-10459,경제학전공,정보관리와 자료분석학,,
2016-10475,물리학전공,컴퓨터공학전공,,
2016-10663,사회학전공,융합정보학,,
2016-10823,심리학전공,언론정보학전공,,
2016-10975,경제학전공,컴퓨터공학전공,,
2016-11049,연합전공 정보문화학,경영학전공,,
2016-11106,경제학전공,통계학전공,,
2016-11173,경영학전공,연합전공 글로벌환경경영학,,
2016-11236,동남아시아언어문명전공,경영학전공,,
2016-11306,경영학전공,,,
2016-11468,경제학전공,경영학전공,,
2016-11575,경제학전공,수리과학전공,,
2016-11628,중어중문학전공,경제학전공,,
2016-11638,경제학전공,외교학전공,,
2016-11737,미학전공,미술사학전공,,
2016-11781,언론정보학전공,경제학전공,,
2016-11848,연합전공 정보문화학,컴퓨터공학전공,,
2016-11922,화학생물공학전공,,,
2016-12184,생명과학전공,컴퓨터공학전공,,
2016-12204,언론정보학전공,소비자학전공,,
2016-12214,통계학전공,산업공학전공,,
2016-12533,외교학전공,시각디자인전공,,
2016-12632,통계학전공,컴퓨터공학전공,,
2016-12670,철학전공,컴퓨터공학전공,,
2016-12686,연합전공 동아시아비교인문학,경제학전공,,
2016-12754,심리학전공,연합전공 정보문화학,컴퓨터공학전공,
2016-12834,경영학전공,컴퓨터공학전공,,
2016-12939,경제학전공,,,
2016-13119,경영학전공,,,
2016-13184,경제학전공,소비자학전공,,
2016-13206,연합전공 정보문화학,컴퓨터공학전공,,
2016-13445,경영학전공,컴퓨터공학전공,,
2016-13604,수리과학전공,,,
2016-13630,정치학전공,경영학전공,,
2016-13786,생명과학전공,화학생물공학전공,,
2016-14040,심리학전공,경영학전공,,
2016-14121,경제학전공,기계공학전공,,
2016-14195,전기·정보공학전공,,,
2016-14301,수리과학전공,컴퓨터공학전공,,
2016-14451,식품영양학전공,,,
2016-14483,미학전공,수리과학전공,,
2016-14594,경제학전공,외교학전공,,
2016-14677,경영학전공,생명과학전공,,
2016-14685,경제학전공,열대학,,
2016-14703,경제학전공,통계학전공,,
2016-14803,경제학전공,,,
2016-14961,연합전공 기술경영,전기·정보공학전공,,
2016-15077,경영학전공,컴퓨터공학전공,,
2016-15131,경영학전공,뇌인지구조와 행동,,
2016-15400,컴퓨터공학전공,,,
2016-15626,경영학전공,생명과학전공,,
2016-15664,언론정보학전공,외교학전공,,
2016-15666,경영학전공,지속가능한 푸드시스템,,
2016-15701,경제학전공,정치학전공,,
2016-15995,경영학전공,,,
2016-16019,경제학전공,스포츠데이터과학,,
2016-16050,컴퓨터공학전공,인간운동과학,,
2016-16123,외교학전공,경영학전공,,
2016-16229,심리학전공,경영학전공,,
2016-16331,경제학전공,,,
2016-16334,심리학전공,연합전공 정보문화학,,
2016-16491,경영학전공,생명과학전공,,
2016-16493,화학생물공학전공,,,
2016-16892,경영학전공,,,
2016-16940,철학전공,미의 신경과학,,
2016-17060,경제학전공,,,
2016-17114,경영학전공,생명과학전공,,
2016-17422,언론정보학전공,경영학전공,,
2016-17443,경제학전공,제도윤리학,,
2016-17447,컴퓨터공학전공,,,
2016-17466,경영학전공,컴퓨터공학전공,,
2016-17553,심리학전공,경영학전공,,
2016-17877,경제학전공,통계학전공,,
2016-17944,경영학전공,,,
2016-17955,경제학전공,,,
2016-18058,경제학전공,,,
2016-18238,미학전공,심리학전공,전기·정보공학전공,
2016-18271,경제학전공,역사분쟁학,,
2016-18566,언론정보학전공,경제학전공,,
2016-18818,경영학전공,기계공학전공,,
2016-18823,연합전공 정보문화학,경영학전공,,
2016-18875,경영학전공,,,
2016-18905,심리학전공,경영학전공,,
2016-18940,생명과학전공,,,
2016-19108,경영학전공,,,
2016-19493,경영학전공,,,
2016-19602,심리학전공,경제학전공,,
2016-19685,전기·정보공학전공,,,
2016-19786,경영학전공,,,
2016-19979,경영학전공,컴퓨터공학전공,,
2017-10089,경제학전공,산업공학전공,,
2017-10101,언론정보학전공,경영학전공,,
2017-10342,생명과학전공,,,
2017-10815,화학생물공학전공,,,
2017-10825,정치학전공,인지정치경제학,,
2017-10938,경영학전공,컴퓨터공학전공,,
2017-10970,경제학전공,,,
2017-11379,언론정보학전공,경영학전공,,
2017-11436,경제학전공,외교학전공,,
2017-11458,사회학전공,경영학전공,,
2017-11557,경제학전공,외교학전공,,
2017-11625,경제학전공,범죄학,,
2017-11785,통계학전공,컴퓨터공학전공,,
2017-11956,경제학전공,사회생태학,,
2017-12247,통계학전공,컴퓨터공학전공,,
2017-12336,경제학전공,,,
2017-12378,철학전공,경제학전공,,
2017-12493,경영학전공,조경학전공,,
2017-12689,심리학전공,경영학전공,,
2017-12708,경제학전공,,,
2017-12722,경제학전공,행복학,,
2017-12794,중어중문학전공,경영학전공,,
2017-13209,경제학전공,과학기술소통학,,
2017-13242,물리학전공,전기·정보공학전공,,
2017-13644,연합전공 정보문화학,경영학전공,,
2017-14434,수리과학전공,컴퓨터공학전공,,
2017-14549,경제학전공,통계학전공,,
2017-14604,경제학전공,통계학전공,,
2017-14718,생명과학전공,,,
2017-14820,외교학전공,경영학전공,,
2017-14858,언론정보학전공,산업공학전공,,
2017-14922,연합전공 정보문화학,경제학전공,,
2017-14958,경영학전공,시각디자인전공,,
2017-15015,경제학전공,정치학전공,,
2017-15270,언론정보학전공,경제학전공,,
2017-15294,경제학전공,통계학전공,,
2017-15470,경영학전공,과학기술거버넌스,,
2017-15741,연합전공 정보문화학,경영학전공,,
2017-15835,인류학전공,언론정보학전공,,
2017-15852,언론정보학전공,경영학전공,,
2017-15863,경제학전공,,,
2017-15944,사회학전공,경제학전공,,
2017-15975,경제학전공,통계학전공,,
2017-16295,화학생물공학전공,,,
2017-16345,심리학전공,경영학전공,,
2017-16383,컴퓨터공학전공,시각디자인전공,,
2017-16415,경제학전공,통계학전공,,
2017-16445,심리학전공,경영학전공,,
2017-16478,연합전공 정보문화학,영화영상학,,
2017-16515,연합전공 정보문화학,경영학전공,,
2017-16707,사회학전공,경영학전공,,
2017-16781,연합전공 정보문화학,경영학전공,,
2017-16977,인류학전공,심리학전공,경영학전공,
2017-17058,언론정보학전공,경영학전공,,
2017-17106,국사학전공,정치학전공,,
2017-17237,경영학전공,컴퓨터공학전공,,
2017-17261,경영학전공,,,
2017-17363,지리학전공,경제학전공,,
2017-17451,컴퓨터공학전공,시각디자인전공,,
2017-17511,연합전공 정보문화학,경영학전공,,
2017-17609,경영학전공,조경학전공,,
2017-17615,경영학전공,생명과학전공,,
2017-17644,경제학전공,국가행복심리학,,
2017-17645,심리학전공,경영학전공,,
2017-17810,영어영문학전공,경영학전공,,
2017-17899,정치학전공,컴퓨터공학전공,,
2017-18373,화학전공,컴퓨터공학전공,,
2017-18511,경제학전공,연합전공 글로벌환경경영학,,
2017-18647,심리학전공,경영학전공,,
2017-18663,미학전공,경영학전공,,
2017-18749,정치학전공,,,
2017-19133,경영학전공,통계학전공,,
2017-19213,경제학전공,컴퓨터공학전공,,
2017-19481,경제학전공,통계학전공,,
2017-19565,연합전공 정보문화학,컴퓨터공학전공,,
2017-19618,언론정보학전공,연합전공 계산과학,,
2017-19636,경제학전공,연합전공 기술경영,,
2017-19847,산업공학전공,식품생명공학전공,,
2017-19909,경영학전공,식품생명공학전공,,
2018-10132,경영학전공,음악사회학,,
2018-10284,컴퓨터공학전공,,,
2018-10535,지리학전공,경영학전공,,
2018-11103,연합전공 정보문화학,경영학전공,,
2018-11573,심리학전공,경영학전공,,
2018-11741,경제학전공,,,
2018-12042,심리학전공,경영학전공,,
2018-12430,통계학전공,컴퓨터공학전공,,
2018-13081,경제학전공,통계학전공,,
2018-13086,외교학전공,경영학전공,,
2018-13962,경영학전공,,,
2018-14000,컴퓨터공학전공,,,
2018-14070,컴퓨터공학전공,,,
2018-14110,경제학전공,,,
2018-14579,심리학전공,경영학전공,,
2018-14658,사회학전공,연합전공 글로벌환경경영학,,
2018-15016,중어중문학전공,경영학전공,,
2018-15184,경제학전공,정치학전공,,
2018-15262,심리학전공,경제학전공,,
2018-15487,수리과학전공,컴퓨터공학전공,,
2018-15520,과학학,,,
2018-16079,철학전공,심리학전공,,
2018-16192,경제학전공,정치학전공,,
2018-16371,철학전공,컴퓨터공학전공,,
2018-16682,언어학전공,심리학전공,,
2018-16721,경영학전공,생명과학전공,,
2018-17514,경영학전공,컴퓨터공학전공,,
2018-17819,심리학전공,경영학전공,,
2018-18045,심리학전공,통계학전공,,
2018-18100,지리학전공,경제학전공,,
2018-18457,경영학전공,,,
2018-18699,경제학전공,컴퓨터공학전공,,
2018-19035,생명과학전공,,,
2018-19063,생명과학전공,전기·정보공학전공,,
2018-19265,영어영문학전공,경제학전공,,
2018-19392,경제학전공,통계학전공,,
2018-19803,연합전공 정보문화학,경제학전공,,
2018-19888,경영학전공,,,
2018-19915,연합전공 정보문화학,경영학전공,,
2019-11120,영어영문학전공,통계학전공,,
2019-11395,정치학전공,경영학전공,,
2019-13325,철학전공,경제학전공,,
2019-13652,경영학전공,,,
2019-13774,수리과학전공,전기·정보공학전공,,
2019-14244,경제학전공,연합전공 기술경영,,
2019-15628,경제학전공,인간 중심 도시공학,,
2019-18699,경영학전공,인체규범학,,
2019-19222,경영학전공,컴퓨터공학전공,,
2019-19464,경영학전공,,,
